Treatment,Rep,Total_Mass_g,Subset_Mass_mg,Count
NoMillet,1,193.5,12.752,702
NoMillet,2,111.6,13.32,917
NoMillet,3,188.7,11.322,934
NoMillet,4,326.3,12.714,1053
NoMillet,5,127.1,14.182,833
NVP64cu,1,286.7,12.89,750
NVP64cu,2,30.5,11.304,1269
NVP64cu,3,186.9,12.686,914
NVP64cu,4,57.1,11.804,1204
NVP64cu,5,63.5,13.212,1268
NVP64wt,1,108.3,14.834,812
NVP64wt,2,97.8,12.96,705
NVP64wt,3,146.3,13.928,1011
NVP64wt,4,173.3,14.76,884
NVP64wt,5,186.7,14.16,878
NVP80cu,1,220.5,11.666,830
NVP80cu,2,215.9,13.118,812
NVP80cu,3,254.1,12.848,656
NVP80cu,4,135.3,14.622,1082
NVP80cu,5,243,13.166,883
NVP80wt,1,213,12.05,832
NVP80wt,2,256.2,12.928,1039
NVP80wt,3,183.1,14.478,853
NVP80wt,4,68.5,13.286,1113
NVP80wt,5,210,12.744,1311
Uninoculated,1,117.8,12.87,776
Uninoculated,2,115.7,13.684,913
Uninoculated,3,73.8,13.374,998
Uninoculated,4,72.5,13.816,688
Uninoculated,5,46.1,13.23,689
