Plate,Treatment,Age_Bolted,Light_Lev
39,NVP64cu,22,109
39,NVP64cu,23,109
39,NVP64cu,23,109
51,NVP64wt,22,109
51,NVP64wt,22,109
51,NVP64wt,22,109
111,NVP64wt,22,109
111,NVP64wt,22,109
111,NVP64wt,22,109
97,NVP80wt,22,109
97,NVP80wt,22,109
97,NVP80wt,23,109
25,Ctrl,22,109
25,Ctrl,22,109
25,Ctrl,23,109
44,NVP64cu,21,114
44,NVP64cu,24,114
44,NVP64cu,25,114
13,NVP80cu,22,114
13,NVP80cu,23,114
13,NVP80cu,23,114
103,NVP80cu,21,114
103,NVP80cu,22,114
103,NVP80cu,23,114
2,NVP80wt,23,114
2,NVP80wt,23,114
2,NVP80wt,23,114
30,Ctrl,23,114
30,Ctrl,24,114
30,Ctrl,24,114
64,NVP64cu,22,109
64,NVP64cu,23,109
64,NVP64cu,24,109
61,NVP64wt,23,109
61,NVP64wt,23,109
61,NVP64wt,24,109
98,NVP80cu,26,109
98,NVP80cu,22,109
98,NVP80cu,22,109
57,NVP80wt,22,109
57,NVP80wt,23,109
57,NVP80wt,23,109
130,Ctrl,21,109
130,Ctrl,22,109
130,Ctrl,23,109
129,NVP64cu,21,109
129,NVP64cu,22,109
129,NVP64cu,23,109
31,NVP64wt,21,109
31,NVP64wt,22,109
31,NVP64wt,22,109
128,NVP80cu,21,109
128,NVP80cu,22,109
128,NVP80cu,23,109
107,NVP80wt,23,109
107,NVP80wt,23,109
107,NVP80wt,25,109
90,Ctrl,23,109
90,Ctrl,23,109
90,Ctrl,23,109
134,NVP64cu,22,114
134,NVP64cu,22,114
134,NVP64cu,22,114
26,NVP64wt,22,114
26,NVP64wt,22,114
26,NVP64wt,23,114
91,NVP64wt,22,114
91,NVP64wt,23,114
91,NVP64wt,23,114
118,NVP80cu,21,114
118,NVP80cu,22,114
118,NVP80cu,22,114
132,NVP80wt,21,114
132,NVP80wt,22,114
132,NVP80wt,22,114
59,NVP64cu,23,110
59,NVP64cu,23,110
59,NVP64cu,NA,110
88,NVP80cu,22,110
88,NVP80cu,23,110
88,NVP80cu,NA,110
127,NVP80wt,22,110
127,NVP80wt,23,110
127,NVP80wt,23,110
50,Ctrl,22,110
50,Ctrl,22,110
50,Ctrl,NA,110
75,Ctrl,22,110
75,Ctrl,22,110
75,Ctrl,22,110
109,NVP64cu,22,108
109,NVP64cu,22,108
109,NVP64cu,23,108
21,NVP64wt,21,108
21,NVP64wt,22,108
21,NVP64wt,24,108
73,NVP80cu,21,108
73,NVP80cu,23,108
73,NVP80cu,24,108
87,NVP80wt,23,108
87,NVP80wt,24,108
87,NVP80wt,24,108
85,Ctrl,21,108
85,Ctrl,21,108
85,Ctrl,23,108
124,NVP64cu,21,113
124,NVP64cu,22,113
124,NVP64cu,23,113
71,NVP64wt,22,113
71,NVP64wt,23,113
71,NVP64wt,24,113
83,NVP80cu,23,113
83,NVP80cu,23,113
83,NVP80cu,23,113
112,NVP80wt,22,113
112,NVP80wt,23,113
112,NVP80wt,25,113
120,Ctrl,22,113
120,Ctrl,22,113
120,Ctrl,24,113
104,NVP64cu,22,108
104,NVP64cu,22,108
