Round,Treatment,SampleID,SubID,Root_Len_mm,Dry_Wt_mg,Medium,Lineage,Light_Lev
MediaPanel,NVP80wt,1,L,7.92,2.222,KM,NA,104
MediaPanel,NVP80wt,1,M,6.51,2.172,KM,NA,104
MediaPanel,NVP80wt,1,R,7.72,2.22,KM,NA,104
MediaPanel,NVP80wt,2,L,6.96,2.366,MEA,NA,113
MediaPanel,NVP80wt,2,M,6.36,2.006,MEA,NA,113
MediaPanel,NVP80wt,2,R,6.19,2.504,MEA,NA,113
MediaPanel,NVP64wt,3,L,5.46,1.732,KM,NA,106
MediaPanel,NVP64wt,3,M,5.11,1.932,KM,NA,106
MediaPanel,NVP64wt,3,R,5.27,2.082,KM,NA,106
MediaPanel,NVP64wt,4,L,7.73,1.864,MEA,NA,107
MediaPanel,NVP64wt,4,M,9.9,2.218,MEA,NA,107
MediaPanel,NVP64wt,4,R,7.07,1.836,MEA,NA,107
MediaPanel,NVP80cu,5,L,6.67,2.062,KM,L0,113
MediaPanel,NVP80cu,5,M,10.93,2,KM,L0,113
MediaPanel,NVP80cu,5,R,10.11,2.316,KM,L0,113
MediaPanel,NVP80cu,6,L,9.16,2.288,MEA,L0,116
MediaPanel,NVP80cu,6,M,10.71,1.738,MEA,L0,116
MediaPanel,NVP80cu,6,R,6.7,2.05,MEA,L0,116
MediaPanel,NVP64cu,7,L,6.32,2.322,KM,L0,113
MediaPanel,NVP64cu,7,M,7.33,2.734,KM,L0,113
MediaPanel,NVP64cu,7,R,6.6,2.212,KM,L0,113
MediaPanel,NVP64cu,8,L,8.82,2.618,MEA,L0,113
MediaPanel,NVP64cu,8,M,5.37,1.654,MEA,L0,113
MediaPanel,NVP64cu,8,R,5.8,1.47,MEA,L0,113
MediaPanel,Ctrl,9,L,9.75,1.478,KM,NA,118
MediaPanel,Ctrl,9,M,7.86,2.492,KM,NA,118
MediaPanel,Ctrl,9,R,6.1,0.804,KM,NA,118
MediaPanel,Ctrl,10,L,5.46,1.528,MEA,NA,116
MediaPanel,Ctrl,10,M,5.39,1.342,MEA,NA,116
MediaPanel,Ctrl,10,R,5.34,1.016,MEA,NA,116
MediaPanel,NVP80wt,11,L,5.15,1.674,KM,NA,106
MediaPanel,NVP80wt,11,M,4.42,1.276,KM,NA,106
MediaPanel,NVP80wt,11,R,7.25,2.18,KM,NA,106
MediaPanel,NVP80wt,12,L,5.75,1.998,MEA,NA,106
MediaPanel,NVP80wt,12,M,8.53,2.414,MEA,NA,106
MediaPanel,NVP80wt,12,R,5.44,1.14,MEA,NA,106
MediaPanel,NVP64wt,13,L,6.76,2.258,KM,NA,113
MediaPanel,NVP64wt,13,M,4.94,1.924,KM,NA,113
MediaPanel,NVP64wt,13,R,8.15,1.974,KM,NA,113
MediaPanel,NVP64wt,14,L,7.78,1.478,KM,NA,106
MediaPanel,NVP64wt,14,M,8.43,2.196,KM,NA,106
MediaPanel,NVP64wt,14,R,7.18,2.026,KM,NA,106
MediaPanel,NVP80cu,15,L,5.85,1.668,MEA,L0,111
MediaPanel,NVP80cu,15,M,8.96,2.298,MEA,L0,111
MediaPanel,NVP80cu,15,R,5.63,2.156,MEA,L0,111
MediaPanel,NVP80cu,16,L,6.44,2.068,KM,L0,113
MediaPanel,NVP80cu,16,M,6.57,2.032,KM,L0,113
MediaPanel,NVP80cu,16,R,6.18,2.188,KM,L0,113
MediaPanel,NVP64cu,17,L,6.59,2.564,MEA,L0,112
MediaPanel,NVP64cu,17,M,6.33,2.592,MEA,L0,112
MediaPanel,NVP64cu,17,R,6.72,2.286,MEA,L0,112
MediaPanel,NVP64cu,18,L,6.27,2.046,KM,L0,118
MediaPanel,NVP64cu,18,M,7.18,2.562,KM,L0,118
MediaPanel,NVP64cu,18,R,7.16,2.54,KM,L0,118
MediaPanel,Ctrl,19,L,6.25,2.104,MEA,NA,112
MediaPanel,Ctrl,19,M,5.19,0.448,MEA,NA,112
MediaPanel,Ctrl,19,R,5.96,0.874,MEA,NA,112
MediaPanel,Ctrl,20,L,5.96,0.854,KM,NA,116
MediaPanel,Ctrl,20,M,8.17,2.338,KM,NA,116
MediaPanel,Ctrl,20,R,7.66,1.542,KM,NA,116
MediaPanel,NVP80wt,21,L,8.3,2.308,MEA,NA,111
MediaPanel,NVP80wt,21,M,6.43,2.302,MEA,NA,111
MediaPanel,NVP80wt,21,R,6.75,2.456,MEA,NA,111
MediaPanel,NVP80wt,22,L,7.03,1.716,KM,NA,111
MediaPanel,NVP80wt,22,M,8.73,2.394,KM,NA,111
MediaPanel,NVP80wt,22,R,6.56,1.962,KM,NA,111
MediaPanel,NVP64wt,23,L,5.34,1.738,MEA,NA,111
MediaPanel,NVP64wt,23,M,5.52,1.586,MEA,NA,111
MediaPanel,NVP64wt,23,R,7.35,2.972,MEA,NA,111
MediaPanel,NVP64wt,24,L,6.17,1.774,KM,NA,111
MediaPanel,NVP64wt,24,M,6.79,2.18,KM,NA,111
MediaPanel,NVP64wt,24,R,5.67,1.932,KM,NA,111
MediaPanel,NVP80cu,25,L,8.8,2.356,MEA,L0,111
MediaPanel,NVP80cu,25,M,6.04,1.92,MEA,L0,111
MediaPanel,NVP80cu,25,R,7.59,1.846,MEA,L0,111
MediaPanel,NVP80cu,26,L,7.4,2.07,KM,L0,118
MediaPanel,NVP80cu,26,M,5.49,1.87,KM,L0,118
MediaPanel,NVP80cu,26,R,9.71,2.662,KM,L0,118
MediaPanel,NVP64cu,27,L,8.99,2.59,KM,L0,114
MediaPanel,NVP64cu,27,M,8.74,2.01,KM,L0,114
MediaPanel,NVP64cu,27,R,7.5,2.238,KM,L0,114
MediaPanel,NVP64cu,28,L,6.71,2.67,MEA,L0,110
MediaPanel,NVP64cu,28,M,6.75,2.278,MEA,L0,110
MediaPanel,NVP64cu,28,R,5.64,2.186,MEA,L0,110
MediaPanel,Ctrl,29,L,5.96,1.588,KM,NA,116
MediaPanel,Ctrl,29,M,5.16,1.442,KM,NA,116
