Factor	Rep	Fresh_Weight	Dry_Weight
Uninoculated	1	0.75	0.19
Uninoculated	2	0.82	0.28
Uninoculated	3	0.22	0.30
Uninoculated	4	0.97	0.29
Uninoculated	5	1.40	0.15
Uninoculated	6	0.08	0.02
Uninoculated	7	0.02	0.28
Uninoculated	8	0.30	0.39
Uninoculated	9	0.32	0.32
Uninoculated	10	0.26	0.34
Uninoculated	11	1.54	0.39
Uninoculated	12	1.53	0.34
NoMillet	1	4.80	1.12
NoMillet	2	3.57	0.98
NoMillet	3	3.07	1.12
NoMillet	4	5.24	1.15
NoMillet	5	4.14	0.66
NoMillet	6	3.40	0.95
NoMillet	7	1.92	0.57
NoMillet	8	3.56	1.04
NoMillet	9	3.98	1.10
NoMillet	10	6.49	1.32
NoMillet	11	5.07	1.04
NoMillet	12	4.53	1.11
NVP64wt	1	3.64	0.56
NVP64wt	2	2.20	0.54
NVP64wt	3	2.15	0.71
NVP64wt	4	3.21	0.73
NVP64wt	5	2.86	0.47
NVP64wt	6	3.12	0.59
NVP64wt	7	2.90	0.76
NVP64wt	8	3.67	0.80
NVP64wt	9	3.87	0.78
NVP64wt	10	2.69	0.60
NVP64wt	11	0.90	0.49
NVP64wt	12	2.15	0.57
NVP64cu	1	0.88	0.30
NVP64cu	2	1.29	0.66
NVP64cu	3	2.33	0.77
NVP64cu	4	1.73	0.68
NVP64cu	5	0.88	0.57
NVP64cu	6	2.45	0.72
NVP64cu	7	2.97	0.79
NVP64cu	8	3.03	0.82
NVP64cu	9	1.48	0.53
NVP64cu	10	2.73	0.61
NVP64cu	11	0.38	0.12
NVP64cu	12	1.05	0.41
NVP80wt	1	2.05	0.63
NVP80wt	2	1.48	0.39
NVP80wt	3	1.33	0.54
NVP80wt	4	2.13	0.41
NVP80wt	5	2.18	0.31
NVP80wt	6	1.07	0.28
NVP80wt	7	1.54	0.59
NVP80wt	8	2.68	0.40
NVP80wt	9	3.07	0.72
NVP80wt	10	2.91	0.37
NVP80wt	11	2.74	0.41
NVP80wt	12	2.00	0.42
NVP80cu	1	2.16	0.36
NVP80cu	2	1.83	0.49
NVP80cu	3	2.62	0.79
NVP80cu	4	2.95	0.81
NVP80cu	5	1.76	0.38
NVP80cu	6	1.51	0.40
NVP80cu	7	1.76	0.40
NVP80cu	8	2.73	0.72
NVP80cu	9	2.51	0.55
NVP80cu	10	2.76	0.63
NVP80cu	11	3.73	0.72
NVP80cu	12	2.42	0.64
