 ,Area,Mean,Min,Max
1,161,255,255,255
2,100,255,255,255
3,168,255,255,255
4,177,255,255,255
5,169,255,255,255
6,157,255,255,255
7,192,255,255,255
8,190,255,255,255
9,172,255,255,255
10,181,255,255,255
11,190,255,255,255
12,151,255,255,255
13,201,255,255,255
14,228,255,255,255
15,160,255,255,255
16,133,255,255,255
17,175,255,255,255
18,206,255,255,255
19,120,255,255,255
20,175,255,255,255
21,229,255,255,255
22,212,255,255,255
23,127,255,255,255
24,192,255,255,255
25,211,255,255,255
26,205,255,255,255
27,114,255,255,255
28,196,255,255,255
29,163,255,255,255
30,156,255,255,255
31,189,255,255,255
32,130,255,255,255
33,164,255,255,255
34,64,255,255,255
35,112,255,255,255
36,170,255,255,255
37,190,255,255,255
38,152,255,255,255
39,120,255,255,255
40,146,255,255,255
41,172,255,255,255
42,154,255,255,255
43,181,255,255,255
44,192,255,255,255
45,139,255,255,255
46,33,255,255,255
47,165,255,255,255
48,188,255,255,255
49,183,255,255,255
50,176,255,255,255
51,163,255,255,255
52,164,255,255,255
53,115,255,255,255
54,133,255,255,255
55,159,255,255,255
56,200,255,255,255
57,157,255,255,255
58,100,255,255,255
59,101,255,255,255
60,214,255,255,255
61,111,255,255,255
62,204,255,255,255
63,131,255,255,255
64,114,255,255,255
65,75,255,255,255
66,129,255,255,255
67,106,255,255,255
68,228,255,255,255
69,117,255,255,255
70,133,255,255,255
71,85,255,255,255
72,148,255,255,255
73,191,255,255,255
74,114,255,255,255
75,124,255,255,255
76,144,255,255,255
77,172,255,255,255
78,175,255,255,255
79,129,255,255,255
80,208,255,255,255
81,78,255,255,255
82,199,255,255,255
83,175,255,255,255
84,156,255,255,255
85,200,255,255,255
86,130,255,255,255
87,143,255,255,255
88,154,255,255,255
89,157,255,255,255
90,146,255,255,255
91,84,255,255,255
92,133,255,255,255
93,136,255,255,255
94,164,255,255,255
95,97,255,255,255
96,180,255,255,255
97,203,255,255,255
98,120,255,255,255
99,203,255,255,255
100,191,255,255,255
101,112,255,255,255
102,172,255,255,255
103,140,255,255,255
104,151,255,255,255
105,136,255,255,255
106,134,255,255,255
107,153,255,255,255
108,62,255,255,255
109,186,255,255,255
110,193,255,255,255
111,130,255,255,255
112,137,255,255,255
113,155,255,255,255
114,149,255,255,255
115,221,255,255,255
116,172,255,255,255
117,175,255,255,255
118,111,255,255,255
119,183,255,255,255
120,105,255,255,255
121,167,255,255,255
122,115,255,255,255
123,136,255,255,255
124,106,255,255,255
125,167,255,255,255
126,141,255,255,255
127,166,255,255,255
128,89,255,255,255
129,145,255,255,255
130,206,255,255,255
131,165,255,255,255
132,125,255,255,255
133,139,255,255,255
134,116,255,255,255
135,126,255,255,255
136,108,255,255,255
137,201,255,255,255
138,121,255,255,255
139,133,255,255,255
140,180,255,255,255
141,137,255,255,255
142,171,255,255,255
143,170,255,255,255
144,116,255,255,255
145,127,255,255,255
146,147,255,255,255
147,159,255,255,255
148,93,255,255,255
149,115,255,255,255
150,93,255,255,255
151,139,255,255,255
152,100,255,255,255
153,167,255,255,255
154,133,255,255,255
155,161,255,255,255
156,106,255,255,255
157,181,255,255,255
158,109,255,255,255
159,175,255,255,255
160,183,255,255,255
161,158,255,255,255
162,182,255,255,255
163,152,255,255,255
164,152,255,255,255
165,109,255,255,255
166,126,255,255,255
167,169,255,255,255
168,208,255,255,255
169,102,255,255,255
170,119,255,255,255
171,120,255,255,255
172,184,255,255,255
173,129,255,255,255
174,61,255,255,255
175,79,255,255,255
176,98,255,255,255
177,201,255,255,255
178,73,255,255,255
179,168,255,255,255
180,90,255,255,255
181,134,255,255,255
182,151,255,255,255
183,154,255,255,255
184,199,255,255,255
185,131,255,255,255
186,113,255,255,255
187,208,255,255,255
188,167,255,255,255
189,150,255,255,255
190,147,255,255,255
191,67,255,255,255
192,114,255,255,255
193,116,255,255,255
194,82,255,255,255
195,153,255,255,255
196,213,255,255,255
197,197,255,255,255
198,162,255,255,255
199,88,255,255,255
200,127,255,255,255
201,195,255,255,255
202,197,255,255,255
203,153,255,255,255
204,198,255,255,255
205,70,255,255,255
206,105,255,255,255
207,74,255,255,255
208,144,255,255,255
209,129,255,255,255
210,178,255,255,255
211,118,255,255,255
212,77,255,255,255
213,110,255,255,255
214,131,255,255,255
215,169,255,255,255
216,132,255,255,255
217,157,255,255,255
218,146,255,255,255
219,196,255,255,255
220,91,255,255,255
221,154,255,255,255
222,137,255,255,255
223,154,255,255,255
224,120,255,255,255
225,175,255,255,255
226,136,255,255,255
227,130,255,255,255
228,189,255,255,255
229,139,255,255,255
230,164,255,255,255
231,237,255,255,255
232,182,255,255,255
233,217,255,255,255
234,131,255,255,255
235,71,255,255,255
236,158,255,255,255
237,165,255,255,255
238,95,255,255,255
239,183,255,255,255
240,221,255,255,255
241,189,255,255,255
242,186,255,255,255
243,229,255,255,255
244,95,255,255,255
245,135,255,255,255
246,72,255,255,255
247,190,255,255,255
248,168,255,255,255
249,142,255,255,255
250,87,255,255,255
251,128,255,255,255
252,150,255,255,255
253,208,255,255,255
254,129,255,255,255
255,205,255,255,255
256,103,255,255,255
257,147,255,255,255
258,184,255,255,255
259,92,255,255,255
260,182,255,255,255
261,159,255,255,255
262,241,255,255,255
263,155,255,255,255
264,142,255,255,255
265,126,255,255,255
266,176,255,255,255
